Blink time,Looked left,looked right,Concentrated,total time,Distracted percentage,Concentrated percentage,Final Report
87,0,209,16,312,94.87179487,5.128205128,
110,0,157,29,296,90.2027027,9.797297297,
27,0,216,82,325,74.76923077,25.23076923,
54,0,139,88,281,68.68327402,31.31672598,
108,0,155,64,327,80.42813456,19.57186544,
224,0,61,15,300,95,5,
63,2,6,162,233,30.472103,69.527897,
95,0,88,110,293,62.45733788,37.54266212,
45,1,205,65,316,79.43037975,20.56962025,
126,0,188,0,314,100,0,
125,0,114,42,281,85.05338078,14.94661922,
106,3,80,87,276,68.47826087,31.52173913,
231,0,45,29,305,90.49180328,9.508196721,
113,0,49,95,257,63.03501946,36.96498054,
73,0,140,77,290,73.44827586,26.55172414,
123,0,145,66,334,80.23952096,19.76047904,
135,0,127,72,334,78.44311377,21.55688623,
105,0,95,110,310,64.51612903,35.48387097,
134,0,120,49,303,83.82838284,16.17161716,
122,0,105,36,263,86.31178707,13.68821293,
51,6,120,109,286,61.88811189,38.11188811,
60,0,158,100,318,68.55345912,31.44654088,
9,0,6,2,17,88.23529412,11.76470588,
34,0,12,14,60,76.66666667,23.33333333,
55,0,49,4,108,96.2962963,3.703703704,
60,0,133,21,214,90.18691589,9.813084112,
26,0,164,47,237,80.16877637,19.83122363,
10,0,27,131,168,22.02380952,77.97619048,
26,0,18,9,53,83.01886792,16.98113208,
6,0,9,8,23,65.2173913,34.7826087,
15,0,156,95,266,64.28571429,35.71428571,
23,1,121,100,245,59.18367347,40.81632653,
35,0,47,20,102,80.39215686,19.60784314,
9,0,11,3,23,86.95652174,13.04347826,
34,0,12,14,60,76.66666667,23.33333333,
46,0,49,4,99,95.95959596,4.04040404,
60,0,133,21,214,90.18691589,9.813084112,
63,0,137,122,322,62.11180124,37.88819876,
